"Date","Price","Open","High","Low","Change %"
"Mar 09, 2014","3.6839","3.6873","3.7542","3.6768","-0.07%"
"Mar 02, 2014","3.6866","3.6865","3.7390","3.6393","-0.35%"
"Feb 23, 2014","3.6996","3.6226","3.7507","3.6037","2.19%"
"Feb 16, 2014","3.6203","3.6536","3.7100","3.6188","-0.88%"
"Feb 09, 2014","3.6525","3.6422","3.6866","3.5825","0.26%"
"Feb 02, 2014","3.6431","3.7140","3.7450","3.5831","-1.95%"
"Jan 26, 2014","3.7155","3.8399","3.9575","3.5850","-3.32%"
"Jan 19, 2014","3.8430","3.6665","3.8847","3.6591","4.84%"
"Jan 12, 2014","3.6656","3.5722","3.6702","3.5535","2.72%"
"Jan 05, 2014","3.5685","3.5736","3.6127","3.5344","-0.22%"
"Dec 29, 2013","3.5764","3.5455","3.6166","3.4870","0.87%"
"Dec 22, 2013","3.5455","3.4173","3.6058","3.3598","3.76%"
"Dec 15, 2013","3.4171","3.3325","3.4352","3.3024","2.75%"
"Dec 08, 2013","3.3256","3.3112","3.3550","3.3051","0.44%"
"Dec 01, 2013","3.3110","3.3019","3.3701","3.3011","0.15%"
"Nov 24, 2013","3.3059","3.2543","3.3182","3.2265","1.58%"
"Nov 17, 2013","3.2546","3.2721","3.2788","3.2260","-0.52%"
"Nov 10, 2013","3.2717","3.2637","3.2942","3.2481","0.17%"
"Nov 03, 2013","3.2660","3.2095","3.2886","3.2008","1.67%"
"Oct 27, 2013","3.2124","3.2073","3.2277","3.1789","0.18%"
"Oct 20, 2013","3.2066","3.1839","3.2296","3.1776","0.75%"
"Oct 13, 2013","3.1827","3.1612","3.1959","3.1383","0.63%"
"Oct 06, 2013","3.1629","3.1835","3.2206","3.1452","-0.58%"
"Sep 29, 2013","3.1812","3.2757","3.3054","3.1787","-2.94%"
"Sep 22, 2013","3.2776","3.1709","3.2898","3.1608","3.43%"
"Sep 15, 2013","3.1690","3.2207","3.2285","3.1214","-1.57%"
"Sep 08, 2013","3.2195","3.1986","3.2300","3.1509","0.64%"
"Sep 01, 2013","3.1989","3.1665","3.2632","3.1317","1.09%"
"Aug 25, 2013","3.1644","3.0957","3.2207","3.0901","2.26%"
"Aug 18, 2013","3.0946","3.0407","3.1168","3.0226","1.82%"
"Aug 11, 2013","3.0394","2.9811","3.0429","2.9625","2.11%"
"Aug 04, 2013","2.9767","2.9212","3.0029","2.9159","1.11%"
"Jul 28, 2013","2.9439","2.9623","2.9684","2.9110","-0.63%"
"Jul 21, 2013","2.9625","2.9237","2.9729","2.9118","1.16%"
